Lane,Occup,Flow,Sample
Left,0.0017,2,898
Left,0,0,899
Left,0.0034,5,900
Left,0.0017,3,901
Left,0.0018,3,902
Left,0.0014,2,903
Left,0.0014,2,904
Left,0.0012,2,905
Left,0.0013,2,906
Left,0.002,3,907
Left,0.0009,1,908
Left,0.0006,1,909
Left,0.0006,1,910
Left,0.0024,3,911
Left,0.0006,1,912
Left,0.0027,4,913
Left,0.0023,3,914
Left,0.0028,4,915
Left,0.0014,2,916
Left,0.0011,2,917
Left,0.0047,6,918
Left,0.0057,8,919
Left,0.0022,3,920
Left,0.004,5,921
Left,0.0044,7,922
Left,0.0032,5,923
Left,0.0041,6,924
Left,0.0046,6,925
Left,0.0072,8,926
Left,0.0131,18,927
Left,0.0087,13,928
Left,0.0081,13,929
Left,0.0115,16,930
Left,0.0168,23,931
Left,0.0119,17,932
Left,0.0241,34,933
Left,0.0336,46,934
Left,0.0237,32,935
Left,0.0227,30,936
Left,0.0263,36,937
Left,0.0358,48,938
Left,0.0428,59,939
Left,0.0415,61,940
Left,0.0558,79,941
Left,0.0506,72,942
Left,0.0557,78,943
Left,0.0791,115,944
Left,0.061,87,945
Left,0.1011,139,946
Left,0.0839,119,947
Left,0.0672,96,948
Left,0.0768,111,949
Left,0.0893,125,950
Left,0.0767,111,951
Left,0.1045,148,952
Left,0.0747,109,953
Left,0.1037,150,954
Left,0.0994,145,955
Left,0.116,163,956
Left,0.1202,168,957
Left,0.1103,153,958
Left,0.0992,138,959
Left,0.0946,134,960
Left,0.0757,109,961
Left,0.0812,115,962
Left,0.089,128,963
Left,0.0792,116,964
Left,0.0684,104,965
Left,0.0561,87,966
Left,0.0669,96,967
Left,0.0759,106,968
Left,0.0687,102,969
Left,0.0602,86,970
Left,0.0534,77,971
Left,0.0583,84,972
Left,0.0598,88,973
Left,0.0365,53,974
Left,0.0534,76,975
Left,0.0469,67,976
Left,0.0542,77,977
Left,0.0382,56,978
Left,0.0482,69,979
Left,0.0562,78,980
Left,0.0642,90,981
Left,0.0462,68,982
Left,0.0428,64,983
Left,0.0588,84,984
Left,0.0459,67,985
Left,0.0443,63,986
Left,0.0581,82,987
Left,0.0485,65,988
Left,0.0636,88,989
Left,0.0529,78,990
Left,0.0554,77,991
Left,0.0492,68,992
Left,0.0526,75,993
Left,0.049,69,994
Left,0.0487,70,995
Left,0.0495,69,996
Left,0.0468,66,997
Left,0.0536,77,998
Left,0.0533,77,999
Left,0.048,70,1000
Left,0.0649,93,1001
Left,0.0598,81,1002
Left,0.0604,86,1003
Left,0.0655,91,1004
Left,0.0691,95,1005
Left,0.0599,83,1006
Left,0.0629,87,1007
Left,0.0645,94,1008
Left,0.0527,76,1009
Left,0.0601,84,1010
Left,0.053,74,1011
Left,0.0822,113,1012
Left,0.0689,98,1013
Left,0.0696,97,1014
Left,0.0722,100,1015
Left,0.0544,78,1016
Left,0.0735,102,1017
Left,0.0682,98,1018
Left,0.0599,83,1019
Left,0.0578,79,1020
Left,0.0611,86,1021
Left,0.061,88,1022
Left,0.0818,114,1023
Left,0.0699,94,1024
Left,0.0672,95,1025
Left,0.0522,75,1026
Left,0.0676,96,1027
Left,0.0621,88,1028
Left,0.0899,127,1029
Left,0.0694,98,1030
Left,0.0813,110,1031
Left,0.0546,80,1032
Left,0.0703,98,1033
Left,0.0817,119,1034
Left,0.0611,86,1035
Left,0.0909,127,1036
Left,0.0677,98,1037
Left,0.0842,116,1038
Left,0.0773,111,1039
Left,0.0842,115,1040
Left,0.104,144,1041
Left,0.0916,128,1042
Left,0.0867,118,1043
Left,0.1149,153,1044
Left,0.0963,133,1045
Left,0.1154,151,1046
Left,0.139,183,1047
Left,0.0941,128,1048
Left,0.1216,163,1049
Left,0.1299,171,1050
Left,0.1174,160,1051
Left,0.1296,176,1052
Left,0.1342,177,1053
Left,0.1744,203,1054
Left,0.2294,162,1055
Left,0.2668,150,1056
Left,0.2732,162,1057
Left,0.2908,149,1058
Left,0.247,162,1059
Left,0.2848,140,1060
Left,0.2472,173,1061
Left,0.2552,163,1062
Left,0.131,153,1063
Left,0.1256,159,1064
Left,0.1525,171,1065
Left,0.1484,170,1066
Left,0.1218,156,1067
Left,0.1139,148,1068
Left,0.1062,143,1069
Left,0.1231,156,1070
Left,0.23,153,1071
Left,0.2844,144,1072
Left,0.2672,135,1073
Left,0.292,145,1074
Left,0.2483,145,1075
Left,0.1299,154,1076
Left,0.1016,139,1077
Left,0.0957,127,1078
Left,0.0844,114,1079
Left,0.0812,112,1080
Left,0.0633,89,1081
Left,0.0827,113,1082
Left,0.0868,121,1083
Left,0.0846,118,1084
Left,0.0609,87,1085
Left,0.0776,110,1086
Left,0.0696,95,1087
Left,0.0663,93,1088
Left,0.077,106,1089
Left,0.0601,83,1090
Left,0.0651,88,1091
Left,0.0477,69,1092
Left,0.0567,78,1093
Left,0.0577,80,1094
Left,0.0557,80,1095
Left,0.0439,66,1096
Left,0.0377,52,1097
Left,0.0327,49,1098
Left,0.0552,79,1099
Left,0.0398,56,1100
Left,0.0486,67,1101
Left,0.0382,55,1102
Left,0.0363,52,1103
Left,0.0289,38,1104
Left,0.0332,48,1105
Left,0.0328,45,1106
Left,0.032,46,1107
Left,0.0263,37,1108
Left,0.033,46,1109
Left,0.0328,44,1110
Left,0.0312,43,1111
Left,0.0282,41,1112
Left,0.0331,46,1113
Left,0.0301,42,1114
Left,0.0254,36,1115
Left,0.0227,30,1116
Left,0.0241,34,1117
Left,0.0174,25,1118
Left,0.0257,37,1119
Left,0.0244,35,1120
Left,0.0243,34,1121
Left,0.0182,27,1122
Left,0.0215,30,1123
Left,0.0207,28,1124
Left,0.0149,22,1125
Left,0.0132,19,1126
Left,0.0221,31,1127
Left,0.0222,29,1128
Left,0.0338,44,1129
Left,0.019,26,1130
Left,0.0248,35,1131
Left,0.0282,40,1132
Left,0.0144,22,1133
Left,0.0271,41,1134
Left,0.019,27,1135
Left,0.0181,26,1136
Left,0.019,27,1137
Left,0.0159,24,1138
Left,0.0181,27,1139
Left,0.0092,14,1140
Left,0.0066,9,1141
Left,0.0129,18,1142
Left,0.0173,26,1143
Left,0.0122,17,1144
Left,0.0152,23,1145
Left,0.0132,18,1146
Left,0.0141,21,1147
Left,0.0053,8,1148
Left,0.0138,20,1149
Left,0.0152,23,1150
Left,0.0116,17,1151
Left,0.0063,8,1152
Left,0.005,7,1153
Left,0.0135,20,1154
Left,0.0063,9,1155
Left,0.0061,9,1156
Left,0.008,12,1157
Left,0.007,11,1158
Left,0.004,6,1159
Left,0.0053,8,1160
Left,0.0063,8,1161
Left,0.005,7,1162
Left,0.0018,3,1163
Left,0.0034,5,1164
Left,0.0052,7,1165
Left,0.0021,3,1166
Left,0.0029,4,1167
Left,0.0013,2,1168
Left,0.0045,6,1169
Left,0.0018,2,1170
Left,0.0012,2,1171
Left,0.0039,5,1172
Left,0.0011,1,1173
Left,0.0028,4,1174
Left,0.0027,4,1175
Left,0.0012,2,1176
Left,0.0012,2,1177
Left,0.0013,2,1178
Left,0.0014,2,1179
Left,0.0007,1,1180
Left,0.0029,5,1181
Left,0.0033,6,1182
Left,0.0014,2,1183
Left,0.0022,4,1184
Left,0.0026,4,1185
Left,0.0031,4,1186
Left,0.0026,4,1187
Left,0.002,3,1188
Left,0.0007,1,1189
Left,0.0027,4,1190
Left,0.0007,1,1191
Left,0.0026,4,1192
Left,0.0006,1,1193
Left,0.0008,1,1194
Left,0.0013,2,1195
Left,0,0,1196
Left,0.003,4,1197
Left,0.001,1,1198
Left,0,0,1199
Left,0,0,1200
Left,0.001,1,1201
Left,0.0008,1,1202
Left,0.0023,3,1203
Left,0.0013,2,1204
Left,0.0019,3,1205
Left,0.0049,6,1206
Left,0.0012,2,1207
Left,0.0014,2,1208
Left,0.0061,9,1209
Left,0.0037,5,1210
Left,0.0047,6,1211
Left,0.0042,6,1212
Left,0.0047,7,1213
Left,0.0058,7,1214
Left,0.0102,15,1215
Left,0.0096,13,1216
Left,0.0107,16,1217
Left,0.0095,13,1218
Left,0.0154,21,1219
Left,0.0228,31,1220
Left,0.0279,39,1221
Left,0.0221,29,1222
Left,0.0327,46,1223
Left,0.0215,29,1224
Left,0.0284,40,1225
Left,0.031,42,1226
Left,0.0495,71,1227
Left,0.0376,56,1228
Left,0.0597,83,1229
Left,0.063,85,1230
Left,0.0733,103,1231
Left,0.076,107,1232
Left,0.0809,114,1233
Left,0.0877,125,1234
Left,0.0665,95,1235
Left,0.0762,104,1236
Left,0.0758,107,1237
Left,0.083,111,1238
Left,0.1105,143,1239
Left,0.1251,163,1240
Left,0.117,160,1241
Left,0.1137,157,1242
Left,0.1223,165,1243
Left,0.13,176,1244
Left,0.133,170,1245
Left,0.3694,108,1246
Left,0.4519,93,1247
Left,0.4469,106,1248
Left,0.3949,99,1249
Left,0.4292,101,1250
Left,0.4586,89,1251
Left,0.4392,86,1252
Left,0.2722,134,1253
Left,0.2808,160,1254
Left,0.2064,130,1255
Left,0.0758,104,1256
Left,0.0788,109,1257
Left,0.0755,104,1258
Left,0.0717,105,1259
Left,0.0527,74,1260
Left,0.0537,78,1261
Left,0.0485,69,1262
Left,0.0552,77,1263
Left,0.0516,73,1264
Left,0.0505,70,1265
Left,0.0508,72,1266
Left,0.0451,64,1267
Left,0.0462,66,1268
Left,0.0392,57,1269
Left,0.0509,71,1270
Left,0.0537,76,1271
Left,0.0489,68,1272
Left,0.0497,70,1273
Left,0.0379,53,1274
Left,0.0454,64,1275
Left,0.0457,65,1276
Left,0.0599,86,1277
Left,0.0469,66,1278
Left,0.0474,71,1279
Left,0.0515,72,1280
Left,0.0728,101,1281
Left,0.0417,62,1282
Left,0.0467,68,1283
Left,0.0481,69,1284
Left,0.0492,66,1285
Left,0.0427,59,1286
Left,0.0443,62,1287
Left,0.0474,66,1288
Left,0.0556,74,1289
Left,0.0581,81,1290
Left,0.0587,81,1291
Left,0.0483,70,1292
Left,0.0634,88,1293
Left,0.0531,73,1294
Left,0.0563,79,1295
Left,0.0476,70,1296
Left,0.0533,76,1297
Left,0.0637,89,1298
Left,0.0637,87,1299
Left,0.0631,85,1300
Left,0.0572,81,1301
Left,0.0583,83,1302
Left,0.0858,112,1303
Left,0.0679,95,1304
Left,0.0587,81,1305
Left,0.0591,85,1306
Left,0.0605,88,1307
Left,0.051,74,1308
Left,0.049,70,1309
Left,0.0792,109,1310
Left,0.0469,66,1311
Left,0.0694,96,1312
Left,0.0585,87,1313
Left,0.0642,90,1314
Left,0.0595,86,1315
Left,0.0698,95,1316
Left,0.0755,107,1317
Left,0.0707,100,1318
Left,0.0741,104,1319
Left,0.065,88,1320
Left,0.0509,74,1321
Left,0.081,109,1322
Left,0.0975,130,1323
Left,0.0901,123,1324
Left,0.0893,126,1325
Left,0.0771,107,1326
Left,0.0823,116,1327
Left,0.0862,120,1328
Left,0.1071,142,1329
Left,0.1011,139,1330
Left,0.1065,142,1331
Left,0.1091,147,1332
Left,0.0857,114,1333
Left,0.1178,160,1334
Left,0.1357,171,1335
Left,0.1176,154,1336
Left,0.1163,155,1337
Left,0.1029,138,1338
Left,0.1359,179,1339
Left,0.1629,199,1340
Left,0.1638,184,1341
Left,0.2351,166,1342
Left,0.2153,160,1343
Left,0.2411,156,1344
Left,0.2187,163,1345
Left,0.2741,159,1346
Left,0.2693,163,1347
Left,0.2619,155,1348
Left,0.3059,145,1349
Left,0.3368,144,1350
Left,0.2831,155,1351
Left,0.3204,149,1352
Left,0.325,152,1353
Left,0.2947,142,1354
Left,0.2968,144,1355
Left,0.2617,150,1356
Left,0.3047,143,1357
Left,0.2962,141,1358
Left,0.326,132,1359
Left,0.3237,137,1360
Left,0.314,148,1361
Left,0.2939,140,1362
Left,0.2608,146,1363
Left,0.262,151,1364
Left,0.2109,132,1365
Left,0.2731,145,1366
Left,0.1956,135,1367
Left,0.0939,124,1368
Left,0.0881,114,1369
Left,0.0944,127,1370
Left,0.1045,139,1371
Left,0.0771,104,1372
Left,0.0847,118,1373
Left,0.1071,142,1374
Left,0.0881,119,1375
Left,0.0693,97,1376
Left,0.0833,117,1377
Left,0.0753,106,1378
Left,0.0818,110,1379
Left,0.0717,100,1380
Left,0.0728,100,1381
Left,0.0574,80,1382
Left,0.0618,83,1383
Left,0.0502,69,1384
Left,0.0509,75,1385
Left,0.0472,67,1386
Left,0.0573,79,1387
Left,0.0341,50,1388
Left,0.044,60,1389
Left,0.0517,73,1390
Left,0.0383,54,1391
Left,0.0283,37,1392
Left,0.035,50,1393
Left,0.0392,57,1394
Left,0.0381,53,1395
Left,0.0388,54,1396
Left,0.0271,40,1397
Left,0.0249,39,1398
Left,0.0323,47,1399
Left,0.0341,47,1400
Left,0.0317,47,1401
Left,0.0384,55,1402
Left,0.0305,46,1403
Left,0.0236,33,1404
Left,0.0355,49,1405
Left,0.0458,64,1406
Left,0.0561,80,1407
Left,0.0756,106,1408
Left,0.0812,108,1409
Left,0.0861,119,1410
Left,0.0664,91,1411
Left,0.0813,105,1412
Left,0.0462,63,1413
Left,0.0445,61,1414
Left,0.0399,58,1415
Left,0.038,54,1416
Left,0.0373,51,1417
Left,0.0282,40,1418
Left,0.0231,32,1419
Left,0.0188,29,1420
Left,0.018,29,1421
Left,0.0177,27,1422
Left,0.0221,31,1423
Left,0.0194,29,1424
Left,0.0191,30,1425
Left,0.0207,29,1426
Left,0.0128,20,1427
Left,0.0153,22,1428
Left,0.0148,22,1429
Left,0.0198,28,1430
Left,0.0176,23,1431
Left,0.0123,17,1432
Left,0.0171,25,1433
Left,0.0099,14,1434
Left,0.0107,17,1435
Left,0.0099,14,1436
Left,0.0099,15,1437
Left,0.0149,21,1438
Left,0.014,19,1439
Left,0.0041,7,1440
Left,0.0069,10,1441
Left,0.0091,15,1442
Left,0.01,14,1443
Left,0.0098,14,1444
Left,0.0054,7,1445
Left,0.0039,6,1446
Left,0.0056,8,1447
Left,0.0048,7,1448
Left,0.0031,5,1449
Left,0.0013,2,1450
Left,0.0019,3,1451
Left,0.002,3,1452
Left,0.0061,10,1453
Left,0.0041,7,1454
Left,0.0017,3,1455
Left,0.0029,5,1456
Left,0.0026,4,1457
Left,0.0042,6,1458
Left,0.0039,6,1459
Left,0.0009,1,1460
Left,0.0023,3,1461
Left,0.0022,3,1462
Left,0.003,4,1463
Left,0.0028,4,1464
Left,0.003,4,1465
Left,0.0019,3,1466
Left,0.0012,2,1467
Left,0.0012,2,1468
Left,0.0027,4,1469
Left,0.0021,3,1470
Left,0.0026,3,1471
Left,0.0012,2,1472
Left,0.0007,1,1473
Left,0.0006,1,1474
Left,0.003,4,1475
Left,0.0019,3,1476
Left,0.0009,1,1477
Left,0.0026,3,1478
Left,0.0006,1,1479
Left,0,0,1480
Left,0.0007,1,1481
Left,0.0038,5,1482
Left,0.0007,1,1483
Left,0.0028,3,1484
Left,0.001,1,1485
Left,0.002,3,1486
Left,0.0018,3,1487
Left,0.001,1,1488
Left,0.0013,2,1489
Left,0.0019,3,1490
Left,0.003,4,1491
Left,0.0034,4,1492
Left,0.001,1,1493
Left,0.0022,3,1494
Left,0.0029,4,1495
Left,0.0056,8,1496
Left,0.0032,5,1497
Left,0.0058,9,1498
Left,0.0019,3,1499
Left,0.0036,5,1500
Left,0.0056,7,1501
Left,0.005,7,1502
Left,0.0059,9,1503
Left,0.0099,13,1504
Left,0.0098,14,1505
Left,0.011,16,1506
Left,0.0162,23,1507
Left,0.0188,27,1508
Left,0.0191,26,1509
Left,0.0262,36,1510
Left,0.0353,48,1511
Left,0.0238,31,1512
Left,0.032,42,1513
Left,0.0369,50,1514
Left,0.0318,46,1515
Left,0.0372,54,1516
Left,0.0621,86,1517
Left,0.0566,81,1518
Left,0.0551,76,1519
Left,0.0867,122,1520
Left,0.0839,116,1521
Left,0.0737,103,1522
Left,0.0696,101,1523
Left,0.0628,87,1524
Left,0.0713,103,1525
Left,0.0718,104,1526
Left,0.1093,150,1527
Left,0.1116,151,1528
Left,0.0969,137,1529
Left,0.113,163,1530
Left,0.1212,169,1531
Left,0.1249,177,1532
Left,0.1399,192,1533
Left,0.1253,172,1534
Left,0.1036,144,1535
Left,0.0925,131,1536
Left,0.065,95,1537
Left,0.081,113,1538
